Year,"causal" "drug discovery","machine learning" "drug discovery","artificial intelligence" "drug discovery"
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,0,0
1958,0,0,0
1959,0,0,0
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,0,0
1969,0,0,0
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0.24200828152339374,0.24200828152339374
1992,0,0,0
1993,0,0,0
1994,0.22815319117868504,0,0.22815319117868504
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0.2106393958862126
1999,0,0,0.20245742826427174
2000,0.18776944915954394,0,0.18776944915954394
2001,0,0,0.5478531461380006
2002,0.17685686443390772,0.35371372886781544,1.0611411866034464
2003,0.16818990658732588,0.6727596263493035,0.8409495329366294
2004,0.31261674281489493,0.4689251142223424,0.6252334856297899
2005,0.5711005965145731,0.14277514912864328,1.4277514912864326
2006,0.3999994666673778,0.5333326222231703,1.4666647111137185
2007,0.38136158798965236,1.9068079399482618,2.2881695279379146
2008,0.9557088671863333,1.791954125974375,2.2698085595675415
2009,0.5697681043815167,1.8232579340208535,2.962794142783887
2010,0.9553846006863906,2.0169230458934915,2.4415384239763323
2011,0.7839524924789558,3.2338040314756924,2.449851538996737
2012,0.9174985320023488,2.477246036406342,1.651497357604228
2013,0.8695773158583076,3.3913515318473992,3.0435206055040767
2014,0.8294411805933989,4.561926493263694,2.820100014017556
2015,1.3515995385480164,8.109597231288099,1.8286346698002574
2016,2.02366914566137,6.771508295097661,1.4010017162271025
2017,1.5345154729031423,7.44240004358024,1.9181443411289278
2018,2.368745586360763,15.174776412623636,5.1076076705903946
2019,2.544282890333633,22.191800765687802,6.996777948417491
2020,1.8380888777242008,19.177393957589164,9.312983647135951
2021,2.6504541581396293,27.51960913132211,16.35386608213814
2022,2.184750186667626,27.50214940863953,20.69086941491105
